Timestamp,Suction_Pressure_Stage1_kgcm2,Suction_Temp_Stage1_C,Discharge_Pressure_Stage1_kgcm2,Discharge_Temp_Stage1_C,Suction_Pressure_Stage2_kgcm2,Suction_Temp_Stage2_C,Discharge_Pressure_Stage2_kgcm2,Discharge_Temp_Stage2_C,Vibration_mms,RPM,Seal_Gas_Pressure_kgcm2,Lube_Oil_Pressure_kgcm2,Lube_Oil_Temp_C,Anti_Surge_Valve_pct
2026-09-01 06:00,1.18 kg,35.18 C,6.95 kg,90.11 C,7.0 kg,38.02 C,14.94 kg,79.23 C,0.32,4026.0,0.25 kg,4.92 kg,49.9 C,2.3
2026-09-01 06:15,1.18 kg,35.2 C,6.95 kg,90.08 C,7.0 kg,38.03 C,14.93 kg,79.32 C,0.32,4025.0,0.25 kg,4.91 kg,49.9 C,0.0
2026-09-01 06:30,1.18 kg,35.25 C,6.95 kg,90.17 C,6.99 kg,38.0 C,14.92 kg,79.33 C,0.32,4026.0,0.25 kg,4.91 kg,49.9 C,1.1
2026-09-01 06:45,1.18 kg,35.21 C,6.95 kg,90.16 C,6.99 kg,37.99 C,14.92 kg,79.4 C,0.32,4026.0,0.25 kg,4.88 kg,49.9 C,1.8
2026-09-01 07:00,1.19 kg,35.21 C,6.96 kg,90.1 C,6.99 kg,37.97 C,14.93 kg,79.45 C,0.31,4025.0,0.26 kg,4.88 kg,49.9 C,0.0
2026-09-01 07:15,1.19 kg,35.25 C,6.95 kg,90.11 C,6.99 kg,37.96 C,14.93 kg,79.53 C,0.31,4025.0,0.26 kg,4.88 kg,49.9 C,3.0
2026-09-01 07:30,1.19 kg,35.28 C,6.95 kg,90.06 C,6.99 kg,37.96 C,14.93 kg,79.55 C,0.32,4025.0,0.26 kg,4.87 kg,49.9 C,0.5
2026-09-01 07:45,1.19 kg,35.24 C,6.96 kg,90.05 C,7.0 kg,37.96 C,14.93 kg,79.53 C,0.32,4023.0,0.27 kg,4.88 kg,49.9 C,0.0
2026-09-01 08:00,1.19 kg,35.22 C,6.97 kg,90.1 C,7.0 kg,37.95 C,14.93 kg,79.5 C,0.32,4024.0,0.27 kg,4.88 kg,49.8 C,2.3
2026-09-01 08:15,1.19 kg,35.24 C,6.97 kg,90.03 C,7.0 kg,38.02 C,14.93 kg,79.46 C,0.31,4025.0,0.27 kg,4.87 kg,49.9 C,1.1
2026-09-01 08:30,1.19 kg,35.22 C,6.97 kg,90.06 C,7.0 kg,38.0 C,14.92 kg,79.5 C,0.31,4024.0,0.27 kg,4.86 kg,49.9 C,1.4
2026-09-01 08:45,1.2 kg,35.24 C,6.97 kg,90.07 C,7.0 kg,37.98 C,14.93 kg,79.46 C,0.31,4024.0,0.26 kg,4.86 kg,49.9 C,2.6
2026-09-01 09:00,1.19 kg,35.24 C,6.97 kg,90.04 C,7.0 kg,37.92 C,14.93 kg,79.38 C,0.31,4025.0,0.26 kg,4.86 kg,49.9 C,0.7
2026-09-01 09:15,1.19 kg,35.27 C,6.96 kg,90.02 C,7.0 kg,37.91 C,14.95 kg,79.35 C,0.3,4024.0,0.26 kg,4.87 kg,49.9 C,0.0
2026-09-01 09:30,1.19 kg,35.22 C,6.97 kg,89.99 C,6.99 kg,37.93 C,14.95 kg,79.33 C,0.31,4024.0,0.27 kg,4.86 kg,49.9 C,1.9
2026-09-01 09:45,1.19 kg,35.21 C,6.97 kg,89.91 C,7.0 kg,37.91 C,14.95 kg,79.28 C,0.3,4022.0,0.27 kg,4.85 kg,49.8 C,2.5
2026-09-01 10:00,1.19 kg,35.26 C,6.97 kg,89.91 C,6.99 kg,37.93 C,14.96 kg,79.35 C,0.31,4023.0,0.27 kg,4.85 kg,49.9 C,0.4
2026-09-01 10:15,1.19 kg,35.22 C,6.97 kg,89.96 C,6.99 kg,37.97 C,14.96 kg,79.28 C,0.3,4023.0,0.28 kg,4.87 kg,49.9 C,5.6
2026-09-01 10:30,1.19 kg,35.24 C,6.97 kg,89.97 C,6.99 kg,38.0 C,14.96 kg,79.22 C,0.3,4023.0,0.28 kg,4.87 kg,49.8 C,0.0
2026-09-01 10:45,1.19 kg,35.22 C,6.96 kg,89.99 C,6.99 kg,38.02 C,14.95 kg,79.11 C,0.3,4022.0,0.28 kg,4.86 kg,49.8 C,0.0
2026-09-01 11:00,1.19 kg,35.21 C,6.96 kg,90.03 C,6.99 kg,38.05 C,14.96 kg,79.15 C,0.31,4023.0,0.28 kg,4.87 kg,49.8 C,7.3
2026-09-01 11:15,1.19 kg,35.25 C,6.96 kg,90.06 C,7.0 kg,38.1 C,14.97 kg,79.25 C,0.31,4024.0,0.28 kg,4.87 kg,49.8 C,1.6
2026-09-01 11:30,1.19 kg,35.27 C,6.96 kg,90.06 C,7.0 kg,38.12 C,14.98 kg,79.18 C,0.32,4023.0,0.28 kg,4.88 kg,49.8 C,2.5
2026-09-01 11:45,1.19 kg,35.3 C,6.96 kg,89.98 C,6.99 kg,38.16 C,14.98 kg,79.15 C,0.32,4026.0,0.28 kg,4.89 kg,49.9 C,2.8
2026-09-01 12:00,1.19 kg,35.27 C,6.96 kg,90.05 C,6.99 kg,38.18 C,14.98 kg,79.21 C,0.33,4026.0,0.28 kg,4.9 kg,49.9 C,2.1
2026-09-01 12:15,1.19 kg,35.28 C,6.96 kg,90.1 C,6.99 kg,38.19 C,14.97 kg,79.24 C,0.32,4024.0,0.28 kg,4.9 kg,49.9 C,2.7
2026-09-01 12:30,1.18 kg,35.28 C,6.95 kg,90.05 C,7.0 kg,38.16 C,14.98 kg,79.22 C,0.33,4023.0,0.27 kg,4.91 kg,49.8 C,1.7
2026-09-01 12:45,1.18 kg,35.31 C,6.95 kg,89.94 C,7.0 kg,38.13 C,14.98 kg,79.2 C,0.32,4021.0,0.27 kg,4.9 kg,49.9 C,0.9
2026-09-01 13:00,1.18 kg,35.35 C,6.95 kg,89.85 C,7.0 kg,38.11 C,14.98 kg,79.03 C,0.32,4022.0,0.28 kg,4.9 kg,49.9 C,0.6
2026-09-01 13:15,1.18 kg,35.28 C,6.95 kg,89.78 C,7.0 kg,38.16 C,14.96 kg,79.16 C,0.32,4021.0,0.27 kg,4.89 kg,49.9 C,2.4
2026-09-01 13:30,1.19 kg,35.28 C,6.95 kg,89.7 C,7.01 kg,38.14 C,14.96 kg,79.18 C,0.33,4020.0,0.27 kg,4.89 kg,49.9 C,1.2
2026-09-01 13:45,1.19 kg,35.28 C,6.95 kg,89.64 C,7.01 kg,38.13 C,14.95 kg,79.21 C,0.34,4022.0,0.28 kg,4.89 kg,49.9 C,1.3
2026-09-01 14:00,1.19 kg,35.29 C,6.96 kg,89.64 C,7.0 kg,38.13 C,14.94 kg,79.23 C,0.33,4020.0,0.28 kg,4.88 kg,49.9 C,2.4
2026-09-01 14:15,1.19 kg,35.28 C,6.95 kg,89.64 C,7.0 kg,38.11 C,14.94 kg,79.31 C,0.33,4020.0,0.28 kg,4.88 kg,50.0 C,0.7
2026-09-01 14:30,1.19 kg,35.26 C,6.94 kg,89.69 C,7.0 kg,38.05 C,14.94 kg,79.26 C,0.33,4018.0,0.28 kg,4.88 kg,50.0 C,1.2
2026-09-01 14:30,1.19 kg,35.26 C,6.96 kg,89.72 C,7.0 kg,38.05 C,14.94 kg,79.27 C,0.33,4017.0,0.28 kg,4.88 kg,50.0 C,1.2
2026-09-01 14:45,1.19 kg,35.27 C,6.97 kg,89.71 C,7.0 kg,38.1 C,14.93 kg,79.27 C,0.33,4016.0,0.28 kg,4.88 kg,49.9 C,0.3
2026-09-01 15:00,1.19 kg,35.33 C,6.96 kg,89.73 C,7.0 kg,38.08 C,14.93 kg,79.24 C,0.34,4017.0,0.28 kg,4.9 kg,49.9 C,0.3
2026-09-01 15:15,1.19 kg,35.31 C,6.97 kg,89.74 C,7.0 kg,38.04 C,14.93 kg,79.35 C,0.33,4020.0,0.27 kg,4.88 kg,49.9 C,0.3
2026-09-01 15:30,1.19 kg,35.32 C,6.97 kg,89.81 C,7.01 kg,38.05 C,14.93 kg,79.32 C,0.33,4019.0,0.27 kg,4.9 kg,49.9 C,0.6
2026-09-01 15:45,1.18 kg,35.3 C,6.96 kg,89.74 C,7.01 kg,37.98 C,14.92 kg,79.35 C,0.34,4020.0,0.27 kg,4.89 kg,49.9 C,3.4
2026-09-01 16:00,1.19 kg,35.36 C,6.96 kg,89.78 C,7.01 kg,37.99 C,14.92 kg,79.43 C,0.33,4020.0,0.28 kg,4.88 kg,49.9 C,2.3
2026-09-01 16:00,1.19 kg,35.34 C,6.96 kg,89.7 C,7.0 kg,37.97 C,14.92 kg,79.46 C,0.34,4021.0,0.27 kg,4.88 kg,49.9 C,2.3
2026-09-01 16:15,1.19 kg,35.35 C,6.97 kg,89.73 C,7.01 kg,37.97 C,14.92 kg,79.49 C,0.34,4020.0,0.27 kg,4.88 kg,50.0 C,1.6
2026-09-01 16:30,1.19 kg,35.39 C,6.98 kg,89.64 C,7.01 kg,38.01 C,14.92 kg,79.45 C,0.34,4018.0,0.28 kg,4.89 kg,50.0 C,0.0
2026-09-01 16:45,1.19 kg,35.36 C,6.99 kg,89.61 C,7.01 kg,38.01 C,14.92 kg,79.5 C,0.33,4016.0,0.28 kg,4.88 kg,50.0 C,14.6
2026-09-01 17:00,1.19 kg,35.32 C,6.99 kg,89.75 C,7.01 kg,38.01 C,14.93 kg,79.52 C,0.34,4016.0,0.28 kg,4.88 kg,50.0 C,0.1
2026-09-01 17:15,1.19 kg,35.34 C,6.99 kg,89.78 C,7.01 kg,38.03 C,14.94 kg,79.55 C,0.34,4019.0,0.28 kg,4.88 kg,50.0 C,0.0
2026-09-01 17:30,1.19 kg,35.32 C,6.99 kg,89.83 C,7.01 kg,38.08 C,14.94 kg,79.55 C,0.34,4019.0,0.28 kg,4.87 kg,50.0 C,2.6
2026-09-01 17:45,1.19 kg,35.37 C,6.99 kg,89.77 C,7.01 kg,38.05 C,14.95 kg,79.52 C,0.34,4018.0,0.28 kg,4.86 kg,50.0 C,2.0
2026-09-01 18:00,1.19 kg,35.34 C,7.0 kg,89.76 C,7.0 kg,38.07 C,14.95 kg,79.58 C,0.34,4021.0,0.28 kg,4.86 kg,49.9 C,0.0
2026-09-01 18:15,1.19 kg,35.31 C,7.0 kg,89.76 C,7.0 kg,38.07 C,14.96 kg,79.59 C,0.34,4021.0,0.28 kg,4.87 kg,50.0 C,1.2
2026-09-01 18:30,1.19 kg,35.28 C,6.99 kg,89.75 C,7.0 kg,38.03 C,14.95 kg,79.66 C,0.34,4021.0,0.28 kg,4.88 kg,50.0 C,0.2
